Category,State, Description,Source
Other,New Hampshire,$1.4 million to the New Hampshire Liquor Commission Employee Wage Enhancement.,Governor
Other,New Hampshire,$1.7 million to the Administrative Budget.,Governor
Other,New Hampshire,$2.7 million for the New Hampshire Economic Restart Fund.,Governor
Other,New Hampshire,$20.7 million for the New Hampshire General Assistance & Preservation (GAP) Fund.,Governor
Other,New Hampshire,"$250,000 for snowmobiles.",Governor
Other,New Hampshire,"$27,600 to the Secretary of State.",Governor
Other,New Hampshire,$65 million for state agency support.,Governor
Other,New Hampshire,$7 million for the Agriculture COVID-19 Relief Fund.,Governor
Other,New Hampshire,$7.5 million to the Inter-city Transportation Program.,Governor
Other,New Jersey,"$129,000 to the State Joint Management Commission for additional safety measures for the State House, State House Annex, and adjacent public areas to ensure offices and facilities used by State agencies remain safe and compliant.",State
Other,New Jersey,$13.6 million to the New Jersey Economic Development Authority for additional administrative costs and staff time incurred in connection with the COVID-19 Programs.,State
Other,New Jersey,$2.24 million towards Executive Order No. 166 Integrity Oversight Monitoring Program costs,State
Other,New Jersey,"$2.68 million to the Casino Reinvestment Development Authority for administrative costs, PPE, and other direct coronavirus related costs for Casino Redevelopment Authority,",State
Other,New Jersey,"$231 million to intergovernmental accounts for state payroll, health benefits and operations.",State
Other,New Jersey,$25.2 million to intergovernmental accounts for additional state capacity needs.,State
Other,New Jersey,"$267.8 million to the Department of Corrections for CRF-eligible payroll costs for employees substantially dedicated to COVID-19 response activities, such as State Police, Department of Corrections, and direct medical care workers.",State
Other,New Jersey,$29.2 million for additional capacity needs for COVID-19 costs to conduct elections.,State
Other,New Jersey,"$3.15 million to the Department of Property Management and Construction for additional safety measures for the State House, State House Annex, and adjacent public areas to ensure offices and facilities used by State agencies remain safe and compliant.",State
Other,New Jersey,$30 million to the Department of Transportation for CRF-eligible costs for NJ Transit not covered by other federal funding sources,State
Other,New Jersey,"$6.3 million to the Department of Community Services for a Neighborhood Preservation Program (NPP) participants for COVID-19 response activities such as community planning, code enforcement, and public facility improvements",State
Other,New Jersey,"$630,000 to encourage and expand innovation across the State and within State government.",State
Other,New York,"MTA costs, including cleaning, personnel costs and supplies: $73 million",Media
Other,New York,Personnel costs: $117 million,Media
Other,North Carolina,"$440 million to an Extra Credit Grant. The grant sends every North Carolina household with at least one child a one-time check of $335. The funding is designed to help families with child care, tutoring, and online education.",Legislation
Other,North Dakota,$13.5 million for the North Dakota Highway Patrol to cover payroll expenses.,State
Other,North Dakota,"$16 million for the North Dakota Industrial Commission for a drilled-but-uncompleted (DUC) well incentive program. These funds were repurposed from an orphan well plugging and reclamation program and are also designed to maintain oil and gas service sector jobs and activity as the industry, which contributes over half of the state's tax revenue, continues to recover.",State
Other,North Dakota,"$8.1 million for other state agencies and political subdivisions, including $2.2 million through the Department of Agriculture to support meat processing plants to address demand for retail meat products.",State
Other,North Dakota,The state has approved a total of $926.4 million funding requests from state agencies. (Many of those have been itemized in this database). More details are available through the resource link.,State
Other,Ohio,$2 million for Ohio EPA Wastewater Epidemiology Project,Other
Other,Ohio,$20 million for Ohio Companies to Manufacture Personal Protection Equipment.,Other
Other,Ohio,$3 million for COVID Safety at Ohio Department of Natural Resources Parks,Other
Other,Ohio,$35 million to various State Agency COVID 19 Response Services.,Other
Other,Ohio,$4.6 million for law enforcement,Media
Other,Ohio,$4.7 million for County Fairs.,Other
Other,Ohio,$7.3 million for the Ohio National Guards Role in COVID 19 Response,Legislation
Other,Oregon,$1 million for 211 to maintain referral services during the pandemic.,Legislation
Other,Oregon,"$1,643,396 for the Elections Division, for providing financial assistance to county election offices and the Elections Division for costs associated with the COVID-19 pandemic, with the understanding that the Elections Division will report on the expenditures supported by these funds at the next meeting of the Emergency Board.",Legislation
Other,Oregon,$20 million for a third grant to the Oregon Community Foundation for the culturally-specific community-based grant program Oregon Worker Relief Fund.,Legislation
Other,Oregon,$43.8 million to the Department of Education to assist in meeting the increased costs of child care providers.,Legislation
Other,Pennsylvania,$225 million for the State Police for general government operations.,Legislation
Other,South Carolina,$10 million for grant management and compliance.,Legislation
Other,South Carolina,$270 million to the Department of Administration State and Local Government.,Legislation
Other,South Dakota,$40 million to eligible South Dakota small nonprofits who have experienced negative impact as a result of the pandemic.,Governor
Other,South Dakota,$5 million tourism ad campaign aimed at drawing people to the state.,Media
Other,Tennessee,"$25 million to the Tennessee Department of Tourist Development to remarket and support the State's tourism industry recovery from the public health emergency. Of the total funding, $15,000,000 will be directly designated for destination marketing organizations (DMOs) in all 95 counties.",Governor
